entry_id,move_id,pkmn_id
1,1,35
2,1,36
3,1,39
4,1,40
5,1,60
6,1,61
7,1,62
8,1,88
9,1,88
10,1,89
11,1,89
12,1,96
13,1,97
14,1,113
15,1,115
16,1,122
17,1,122
18,1,124
19,1,151
20,1,173
21,1,174
22,1,175
23,1,176
24,1,186
25,1,192
26,1,238
27,1,242
28,1,252
29,1,253
30,1,254
31,1,274
32,1,275
33,1,293
34,1,294
35,1,295
36,1,307
37,1,308
38,1,316
39,1,317
40,1,393
41,1,394
42,1,395
43,1,401
44,1,402
45,1,427
46,1,428
47,1,439
48,1,440
49,1,456
50,1,457
51,1,468
52,1,486
53,1,531
54,1,532
55,1,533
56,1,534
57,1,568
58,1,569
59,1,572
60,1,573
61,1,574
62,1,575
63,1,576
64,1,594
65,1,619
66,1,620
67,1,622
68,1,623
69,1,656
70,1,657
71,1,658
72,1,694
73,1,695
74,1,728
75,1,729
76,1,730
77,1,741
78,1,758
79,1,793
80,1,816
81,1,817
82,1,818
83,1,866
84,1,898
85,1,898
86,1,898
87,2,56
88,2,57
89,2,66
90,2,67
91,2,68
92,2,539
93,2,674
94,2,675
95,2,701
96,3,35
97,3,36
98,3,39
99,3,40
100,3,60
101,3,61
102,3,62
103,3,113
104,3,122
105,3,124
106,3,186
107,3,242
108,3,300
109,3,301
110,3,439
111,3,531
112,3,568
113,3,569
114,3,572
115,3,574
116,3,575
117,3,576
118,3,594
119,3,619
120,3,620
121,3,659
122,3,660
123,3,728
124,3,729
125,3,730
126,3,741
127,3,757
128,3,758
129,3,762
130,3,763
131,4,107
132,4,115
133,4,165
134,4,166
135,4,674
136,4,675
137,4,794
138,5,76
139,5,76
140,5,107
141,5,115
142,5,151
143,5,486
144,5,622
145,5,623
146,5,794
147,5,809
148,6,52
149,6,52
150,6,52
151,6,53
152,6,53
153,6,863
154,7,107
155,7,126
156,7,149
157,7,181
158,7,240
159,7,257
160,7,308
161,7,356
162,7,466
163,7,467
164,7,477
165,7,486
166,7,554
167,7,555
168,7,802
169,8,27
170,8,107
171,8,124
172,8,238
173,8,308
174,8,356
175,8,460
176,8,477
177,8,486
178,8,554
179,8,555
180,8,740
181,8,794
182,8,802
183,9,26
184,9,74
185,9,75
186,9,76
187,9,107
188,9,125
189,9,149
190,9,181
191,9,239
192,9,308
193,9,356
194,9,466
195,9,467
196,9,477
197,9,486
198,9,794
199,9,796
200,9,802
201,9,807
202,9,809
203,10,4
204,10,5
205,10,6
206,10,27
207,10,27
208,10,28
209,10,28
210,10,29
211,10,30
212,10,31
213,10,46
214,10,47
215,10,50
216,10,50
217,10,51
218,10,51
219,10,52
220,10,52
221,10,52
222,10,53
223,10,53
224,10,54
225,10,55
226,10,56
227,10,57
228,10,140
229,10,141
230,10,158
231,10,159
232,10,160
233,10,161
234,10,162
235,10,190
236,10,215
237,10,216
238,10,217
239,10,255
240,10,256
241,10,257
242,10,287
243,10,288
244,10,289
245,10,290
246,10,291
247,10,292
248,10,302
249,10,335
250,10,347
251,10,348
252,10,352
253,10,359
254,10,390
255,10,391
256,10,392
257,10,424
258,10,431
259,10,432
260,10,434
261,10,435
262,10,461
263,10,509
264,10,510
265,10,511
266,10,513
267,10,515
268,10,529
269,10,530
270,10,570
271,10,571
272,10,610
273,10,611
274,10,612
275,10,621
276,10,624
277,10,625
278,10,653
279,10,654
280,10,655
281,10,677
282,10,678
283,10,678
284,10,688
285,10,689
286,10,725
287,10,726
288,10,727
289,10,757
290,10,758
291,10,778
292,10,807
293,10,810
294,10,811
295,10,812
296,10,863
297,10,893
298,11,98
299,11,99
300,11,127
301,11,303
302,11,341
303,11,342
304,11,599
305,11,600
306,11,601
307,11,632
308,11,692
309,11,693
310,11,736
311,11,737
312,11,738
313,11,895
314,12,98
315,12,99
316,12,127
317,12,207
318,12,341
319,12,342
320,12,472
321,12,610
322,12,611
323,12,612
324,12,624
325,12,625
326,12,632
327,12,738
328,12,798
329,13,16
330,13,17
331,13,18
332,13,123
333,13,212
334,13,274
335,13,359
336,13,418
337,13,419
338,13,519
339,13,520
340,13,521
341,13,661
342,13,662
343,13,663
344,13,694
345,13,695
346,13,714
347,13,715
348,13,717
349,13,772
350,13,773
351,14,20
352,14,20
353,14,27
354,14,27
355,14,28
356,14,28
357,14,71
358,14,83
359,14,83
360,14,84
361,14,85
362,14,98
363,14,99
364,14,105
365,14,105
366,14,123
367,14,127
368,14,141
369,14,168
370,14,207
371,14,212
372,14,214
373,14,291
374,14,335
375,14,336
376,14,341
377,14,342
378,14,359
379,14,395
380,14,399
381,14,400
382,14,408
383,14,409
384,14,447
385,14,448
386,14,470
387,14,472
388,14,475
389,14,501
390,14,502
391,14,503
392,14,529
393,14,530
394,14,542
395,14,588
396,14,589
397,14,610
398,14,611
399,14,612
400,14,624
401,14,625
402,14,626
403,14,638
404,14,639
405,14,640
406,14,645
407,14,647
408,14,659
409,14,660
410,14,679
411,14,680
412,14,681
413,14,692
414,14,693
415,14,701
416,14,768
417,14,798
418,14,865
419,14,888
420,14,896
421,14,898
422,15,83
423,15,798
424,16,12
425,16,16
426,16,17
427,16,18
428,16,41
429,16,42
430,16,49
431,16,144
432,16,144
433,16,146
434,16,146
435,16,169
436,16,193
437,16,198
438,16,245
439,16,249
440,16,250
441,16,267
442,16,269
443,16,284
444,16,357
445,16,396
446,16,397
447,16,398
448,16,413
449,16,413
450,16,413
451,16,414
452,16,415
453,16,416
454,16,425
455,16,426
456,16,430
457,16,441
458,16,456
459,16,457
460,16,469
461,16,519
462,16,520
463,16,521
464,16,527
465,16,528
466,16,547
467,16,561
468,16,629
469,16,630
470,16,637
471,16,641
472,16,666
473,16,714
474,16,715
475,16,717
476,16,722
477,16,723
478,16,724
479,17,6
480,17,16
481,17,17
482,17,18
483,17,21
484,17,22
485,17,41
486,17,42
487,17,84
488,17,85
489,17,123
490,17,142
491,17,146
492,17,146
493,17,149
494,17,169
495,17,193
496,17,198
497,17,212
498,17,226
499,17,227
500,17,276
501,17,277
502,17,278
503,17,279
504,17,396
505,17,397
506,17,398
507,17,430
508,17,458
509,17,469
510,17,566
511,17,567
512,17,580
513,17,581
514,17,627
515,17,628
516,17,701
517,17,714
518,17,715
519,17,841
520,18,12
521,18,16
522,18,17
523,18,18
524,18,42
525,18,49
526,18,249
527,18,250
528,18,267
529,18,269
530,18,275
531,18,284
532,18,296
533,18,297
534,18,357
535,18,396
536,18,397
537,18,398
538,18,561
539,18,627
540,18,628
541,18,629
542,18,630
543,18,637
544,18,714
545,18,715
546,18,787
547,19,142
548,19,373
549,19,384
550,19,661
551,19,662
552,19,663
553,19,738
554,19,780
555,19,841
556,20,95
557,20,108
558,20,114
559,20,127
560,20,130
561,20,138
562,20,139
563,20,208
564,20,352
565,20,356
566,20,455
567,20,465
568,20,477
569,20,538
570,20,599
571,20,600
572,20,601
573,20,603
574,20,615
575,20,631
576,20,718
577,20,760
578,20,816
